Central,North,South,East,West,flat_type,storey_range,floor_area_sqm,remaining_lease_decimal,resale_price
1,0,0,0,0,4,1,87,92.04,838888
1,0,0,0,0,4,2,87,92.08,993000
1,0,0,0,0,4,1,83,92.08,980000
1,0,0,0,0,4,1,92,79.1,655000
1,0,0,0,0,4,2,95,88.03,815000
1,0,0,0,0,4,1,88,52.07,500000
1,0,0,0,0,4,1,92,79.08,700000
1,0,0,0,0,4,2,95,88.02,830000
1,0,0,0,0,4,1,95,88.03,680000
1,0,0,0,0,4,2,92,89.04,863000
1,0,0,0,0,4,1,93,94.06,865000
1,0,0,0,0,4,2,93,94.06,930000
1,0,0,0,0,4,2,93,94.06,959888
1,0,0,0,0,4,2,93,94.05,965000
1,0,0,0,0,4,1,93,94.05,948000
1,0,0,0,0,4,1,106,74.11,790000
1,0,0,0,0,4,2,92,88.09,928888
1,0,0,0,0,4,1,87,88.09,776888
1,0,0,0,0,4,2,92,88.09,1050000
1,0,0,0,0,4,1,84,50.07,472000
1,0,0,0,0,4,1,84,50.06,428888
1,0,0,0,0,4,1,94,77,820000
1,0,0,0,0,4,2,108,73.11,991000
1,0,0,0,0,5,1,117,91.02,1090000
1,0,0,0,0,5,2,108,92.08,1200000
1,0,0,0,0,5,1,114,53.01,745000
1,0,0,0,0,5,2,124,74.11,1125000
1,0,0,0,0,5,1,119,51.01,770000
1,0,0,0,0,2,1,40,44.06,268888
1,0,0,0,0,2,1,40,44.06,272000
1,0,0,0,0,2,1,54,43.05,275000
1,0,0,0,0,3,2,68,94.08,708000
1,0,0,0,0,3,1,65,43.07,339888
1,0,0,0,0,3,1,67,46.01,365000
1,0,0,0,0,3,1,65,48.07,370000
1,0,0,0,0,3,1,65,43.06,352000
1,0,0,0,0,3,1,65,43.06,326888
1,0,0,0,0,3,1,68,46.02,335000
1,0,0,0,0,3,1,68,94.08,750000
1,0,0,0,0,3,1,68,94.08,665000
1,0,0,0,0,3,1,65,48.01,360000
1,0,0,0,0,3,1,62,46.01,300000
1,0,0,0,0,3,1,63,46.01,315000
1,0,0,0,0,3,1,68,46,330000
1,0,0,0,0,3,1,62,49.01,310000
1,0,0,0,0,3,1,60,43.06,275000
1,0,0,0,0,3,1,74,60.03,510000
1,0,0,0,0,3,1,67,60.1,432888
1,0,0,0,0,3,1,74,60.06,470000
1,0,0,0,0,3,1,67,48.07,372000
1,0,0,0,0,3,1,65,49.07,368000
1,0,0,0,0,3,1,65,49.07,346000
1,0,0,0,0,4,2,93,94.08,999999
1,0,0,0,0,4,2,91,82.02,870000
1,0,0,0,0,4,2,86,82.01,900000
1,0,0,0,0,4,1,91,82.01,668888.88
1,0,0,0,0,4,2,105,73.03,805000
1,0,0,0,0,4,1,82,52.06,442000
1,0,0,0,0,4,1,87,49.07,430000
1,0,0,0,0,5,2,117,88.05,1335000
1,0,0,0,0,5,1,110,88.04,880000
1,0,0,0,0,5,2,110,78.09,950000
